Date,home_price_index
2/1/2005,161.924
3/1/2005,164.576
4/1/2005,166.99900000000002
5/1/2005,169.544
6/1/2005,172.015
7/1/2005,174.09799999999998
8/1/2005,175.923
9/1/2005,177.611
10/1/2005,178.752
11/1/2005,179.673
12/1/2005,180.107
1/1/2006,180.828
2/1/2006,181.5
3/1/2006,182.74900000000002
4/1/2006,183.648
5/1/2006,184.38
6/1/2006,184.547
7/1/2006,184.608
8/1/2006,184.405
9/1/2006,184.19799999999998
10/1/2006,184.054
11/1/2006,183.63099999999997
12/1/2006,183.229
1/1/2007,182.718
2/1/2007,182.47099999999998
3/1/2007,182.19400000000002
4/1/2007,182.13099999999997
5/1/2007,181.88400000000001
6/1/2007,181.54
7/1/2007,180.993
8/1/2007,180.234
9/1/2007,179.122
10/1/2007,177.53
11/1/2007,175.162
12/1/2007,173.338
1/1/2008,171.077
2/1/2008,169.19099999999997
3/1/2008,167.90400000000002
4/1/2008,167.324
5/1/2008,167.021
6/1/2008,166.537
7/1/2008,165.713
8/1/2008,164.27700000000002
9/1/2008,161.912
10/1/2008,159.16299999999998
11/1/2008,156.072
12/1/2008,152.545
1/1/2009,149.363
2/1/2009,147.618
3/1/2009,146.515
4/1/2009,146.94299999999998
5/1/2009,148.16899999999998
6/1/2009,149.797
7/1/2009,150.749
8/1/2009,150.66899999999998
9/1/2009,149.628
10/1/2009,148.585
11/1/2009,147.939
12/1/2009,146.664
1/1/2010,145.003
2/1/2010,143.053
3/1/2010,143.597
4/1/2010,145.404
5/1/2010,147.04
6/1/2010,147.70600000000002
7/1/2010,147.566
8/1/2010,146.431
9/1/2010,144.612
10/1/2010,143.13299999999998
11/1/2010,141.82299999999998
12/1/2010,140.632
1/1/2011,139.04
2/1/2011,137.735
3/1/2011,137.78799999999998
4/1/2011,139.16
5/1/2011,140.694
6/1/2011,141.946
7/1/2011,142.343
8/1/2011,141.787
9/1/2011,140.16899999999998
10/1/2011,138.411
11/1/2011,136.667
12/1/2011,135.168
1/1/2012,134.168
2/1/2012,133.997
3/1/2012,135.865
4/1/2012,138.471
5/1/2012,141.048
6/1/2012,143.16899999999998
7/1/2012,144.282
8/1/2012,144.705
9/1/2012,144.358
10/1/2012,143.968
11/1/2012,143.961
12/1/2012,143.869
1/1/2013,144.313
2/1/2013,145.16299999999998
3/1/2013,147.96200000000002
4/1/2013,150.969
5/1/2013,153.86
6/1/2013,156.428
7/1/2013,158.28799999999998
8/1/2013,159.39600000000002
9/1/2013,159.675
10/1/2013,159.558
11/1/2013,159.365
12/1/2013,159.282
1/1/2014,159.37
2/1/2014,159.872
3/1/2014,161.189
4/1/2014,162.969
5/1/2014,164.68400000000003
6/1/2014,166.21400000000003
7/1/2014,167.138
8/1/2014,167.452
9/1/2014,167.243
10/1/2014,166.91099999999997
11/1/2014,166.65900000000002
12/1/2014,166.46099999999998
1/1/2015,166.25099999999998
2/1/2015,166.63299999999998
3/1/2015,168.09
4/1/2015,169.97
5/1/2015,171.85
6/1/2015,173.451
7/1/2015,174.49599999999998
8/1/2015,174.938
9/1/2015,175.045
10/1/2015,175.051
11/1/2015,175.143
12/1/2015,175.11700000000002
1/1/2016,175.03799999999998
2/1/2016,175.283
3/1/2016,176.60299999999998
4/1/2016,178.497
5/1/2016,180.345
6/1/2016,181.917
7/1/2016,183.02
8/1/2016,183.658
9/1/2016,183.94799999999998
10/1/2016,184.02200000000002
11/1/2016,184.234
12/1/2016,184.40599999999998
1/1/2017,184.657
2/1/2017,185.023
3/1/2017,186.532
4/1/2017,188.546
5/1/2017,190.543
6/1/2017,192.271
7/1/2017,193.516
8/1/2017,194.351
9/1/2017,194.822
10/1/2017,195.08900000000003
11/1/2017,195.457
12/1/2017,195.852
1/1/2018,196.11900000000003
2/1/2018,196.908
3/1/2018,198.576
4/1/2018,200.61900000000003
5/1/2018,202.457
6/1/2018,204.047
7/1/2018,204.954
8/1/2018,205.332
9/1/2018,205.378
10/1/2018,205.373
11/1/2018,205.111
12/1/2018,204.703
1/1/2019,204.209
2/1/2019,204.43900000000002
3/1/2019,205.78599999999997
4/1/2019,207.69799999999998
5/1/2019,209.361
6/1/2019,210.59799999999998
7/1/2019,211.34900000000002
8/1/2019,211.708
9/1/2019,211.886
10/1/2019,211.979
11/1/2019,212.11700000000002
12/1/2019,212.248
1/1/2020,212.40900000000002
2/1/2020,213.229
3/1/2020,215.207
4/1/2020,217.25400000000002
5/1/2020,218.50400000000002
6/1/2020,219.83
7/1/2020,221.585
8/1/2020,224.06400000000002
9/1/2020,226.817
10/1/2020,229.83
11/1/2020,232.33700000000002
12/1/2020,234.39
1/1/2021,236.468
2/1/2021,239.252
3/1/2021,244.24900000000002
4/1/2021,249.856
5/1/2021,255.481
6/1/2021,261.20599999999996
7/1/2021,265.545
8/1/2021,268.82
9/1/2021,271.473
10/1/2021,273.681
11/1/2021,276.04900000000004
12/1/2021,278.631
1/1/2022,282.017
2/1/2022,287.26
3/1/2022,295.082
4/1/2022,301.73
5/1/2022,306.508
6/1/2022,308.30400000000003
7/1/2022,307.139
8/1/2022,303.692
9/1/2022,300.507
10/1/2022,298.733
11/1/2022,296.928
12/1/2022,294.423
1/1/2023,292.85400000000004
2/1/2023,293.471
3/1/2023,297.318
4/1/2023,301.462
5/1/2023,305.421
6/1/2023,308.316
7/1/2023,310.158
